database_id,sku,name,description,parent_id,colour_value,size_value,price,stock_status,stock_quantity,image_url,slug,product_type,weight,length,width,height,customiser_template,background_color,personalisation_options,material,product_style,corporate_category,sports_category,quality
20255,MH00011AS,"All Star 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20253,Silver,,9.58,instock,2015,https://trophymade.com/app/uploads/2023/04/MH00011AS.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,all-star-1-club-logo-medal,variable,,,,1.875,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20256,MH00011AZ,"All Star 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20253,Bronze,,9.58,instock,2304,https://trophymade.com/app/uploads/2023/04/MH00011AZ.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,all-star-1-club-logo-medal,variable,,,,1.875,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20257,MH00013,"Filigree 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,,instock,,https://trophymade.com/app/uploads/2023/04/MH00013-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,filigree-1-club-logo-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20258,MH00013AG,"Filigree 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20257,Gold,,10.48,instock,803,https://trophymade.com/app/uploads/2023/04/MH00013AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,filigree-1-club-logo-medal,variable,,,,2.25,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20259,MH00013AS,"Filigree 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20257,Silver,,10.48,instock,402,https://trophymade.com/app/uploads/2023/04/MH00013AS-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,filigree-1-club-logo-medal,variable,,,,2.25,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20260,MH00013AZ,"Filigree 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20257,Bronze,,10.48,instock,708,https://trophymade.com/app/uploads/2023/04/MH00013AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,filigree-1-club-logo-medal,variable,,,,2.25,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20261,MH00015,"Maple Leaf 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,,instock,,https://trophymade.com/app/uploads/2023/04/MH00015-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,maple-leaf-1-club-logo-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20262,MH00015AG,"Maple Leaf 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20261,Gold,,10.62,instock,1607,https://trophymade.com/app/uploads/2023/04/MH00015AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,maple-leaf-1-club-logo-medal,variable,,,,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20263,MH00015AS,"Maple Leaf 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20261,Silver,,10.62,instock,1824,https://trophymade.com/app/uploads/2023/04/MH00015AS.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,maple-leaf-1-club-logo-medal,variable,,,,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20264,MH00015AZ,"Maple Leaf 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20261,Bronze,,10.62,instock,1109,https://trophymade.com/app/uploads/2023/04/MH00015AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,maple-leaf-1-club-logo-medal,variable,,,,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
